candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds
baseline,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,146.34051899997758,36.93171158400003,17785739,42.57476,88.641288
baseline,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.4994740000229285,36.694946424999955,4933955,37.75536,80.650859
baseline,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,120.85866199998918,18.28060401600004,32608496,23.867602,78.724289
baseline,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,621.7307189999701,26.264743548999945,158821350,48.037662,99.68604
baseline,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,63.724564999915856,64.88363875699997,23927107,67.806128,119.612163
baseline,architecture,classical,association,False,40,0.9255793625876316,0.9729166666666667,0.975,0.925,2179.7030469999754,194.323933862,172206005,408.230127,462.605967
baseline,architecture,classical,bm25,False,40,0.8417873692522331,0.8375,0.95,0.65,861.6455540000061,194.323933862,172206005,408.230127,462.605967
baseline,architecture,classical,fusion,True,40,0.9257807641624444,0.9729166666666667,0.975,0.925,1491.1825780000072,194.323933862,172206005,408.230127,462.605967
baseline,architecture,classical,topic,False,40,0.9255793625876316,0.9729166666666667,0.975,0.925,1933.613940999976,194.323933862,172206005,408.230127,462.605967
baseline,enterprise,entity-graph,entity,False,40,0.4525282790837736,0.5657738095238095,0.46673611111111113,0.45,108.48169999997026,77.69699468400006,13856388,90.051482,134.908439
baseline,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,91.82986500002244,77.69699468400006,13856388,90.051482,134.908439
baseline,enterprise,entity-graph,lexical,False,40,0.5940418860485238,0.6373015873015873,0.6077777777777778,0.55,79.85608199999206,77.69699468400006,13856388,90.051482,134.908439
baseline,enterprise,entity-graph,traversal,False,40,0.43274149507640913,0.5032738095238095,0.4604166666666667,0.375,106.6243120000081,77.69699468400006,13856388,90.051482,134.908439
baseline,architecture,ensemble,fast,False,40,0.860373125427927,0.9520833333333334,0.89375,0.875,4797.888368000031,898.478668948,458363799,1360.594722,1405.535635
baseline,architecture,ensemble,quality,True,40,0.8500964545549008,0.9520833333333334,0.8800000000000001,0.875,5763.663080000242,898.478668948,458363799,1360.594722,1405.535635
baseline,architecture,ensemble,robust,False,40,0.8560699230171966,0.9520833333333334,0.905,0.875,1905.5481309997049,898.478668948,458363799,1360.594722,1405.535635
baseline,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,923.9514420000887,27.63432733000002,79076656,97.987178,147.568968
baseline,data-science,embeddings,lexical,False,40,0.6323564091118224,0.8333333333333334,0.5818749999999999,0.75,959.1382840001188,27.63432733000002,79076656,97.987178,147.568968
baseline,data-science,embeddings,vector,False,40,0.3938300811301899,0.7041666666666667,0.29134920634920636,0.675,2.360043999942718,27.63432733000002,79076656,97.987178,147.568968
baseline,data-science,classical,association,False,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,1143.8827579997906,402.82150052099996,266251750,606.323661,652.176633
baseline,data-science,classical,bm25,False,40,0.9308126691707017,0.9833333333333334,0.940625,0.95,1094.2381780000687,402.82150052099996,266251750,606.323661,652.176633
baseline,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,987.13745200007,402.82150052099996,266251750,606.323661,652.176633
baseline,data-science,classical,topic,False,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,1119.910217000097,402.82150052099996,266251750,606.323661,652.176633
baseline,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,47.757154000009905,68.02320215500004,7169691,72.72923,118.692369
baseline,enterprise,embeddings,lexical,False,40,0.5906691808155105,0.6185515873015872,0.615,0.5,9.79371799985529,68.02320215500004,7169691,72.72923,118.692369
baseline,enterprise,embeddings,vector,False,40,0.32558215828649456,0.36924603174603177,0.3771825396825397,0.25,36.20645399996647,68.02320215500004,7169691,72.72923,118.692369
baseline,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.3221459999167564,5.404734524999867,25449713,7.021695,52.62194
baseline,architecture,entity-graph,entity,False,40,0.8175814821278008,0.9354166666666666,0.8114880952380952,0.825,3056.2215910003943,217.89850106199992,318372177,728.9517,774.648586
baseline,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,4298.903180000252,217.89850106199992,318372177,728.9517,774.648586
baseline,architecture,entity-graph,lexical,False,40,0.8898418537701088,0.9833333333333334,0.8925000000000001,0.95,3194.6197629999915,217.89850106199992,318372177,728.9517,774.648586
baseline,architecture,entity-graph,traversal,False,40,0.8030291944690846,0.9291666666666666,0.8091666666666667,0.85,3588.5655909996785,217.89850106199992,318372177,728.9517,774.648586
baseline,astro,ensemble,fast,False,40,0.8261885669345291,0.8875,0.9145833333333334,0.725,4219.035045000055,264.7235901539998,145084331,593.772592,638.976947
baseline,astro,ensemble,quality,True,40,0.8262231573917006,0.8875,0.90625,0.725,5785.077953999917,264.7235901539998,145084331,593.772592,638.976947
baseline,astro,ensemble,robust,False,40,0.8333545047679802,0.8875,0.9145833333333334,0.725,3051.6019310002775,264.7235901539998,145084331,593.772592,638.976947
baseline,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,411.2021650003044,12.55463635299975,38303852,48.524625,92.606262
baseline,architecture,embeddings,lexical,False,40,0.7213464747415359,0.9291666666666666,0.715654761904762,0.825,418.69650499984346,12.55463635299975,38303852,48.524625,92.606262
baseline,architecture,embeddings,vector,False,40,0.6555841935573563,0.84375,0.6598809523809523,0.65,1.1865820001730754,12.55463635299975,38303852,48.524625,92.606262
baseline,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,355.7609230001617,13.000703875,76846321,25.336482,72.049644
baseline,enterprise,classical,association,False,40,0.4721490812236234,0.45863095238095236,0.5625,0.375,45.28726399985317,63.44831900500003,8014930,69.665621,114.604793
baseline,enterprise,classical,bm25,False,40,0.5893268014207212,0.6456349206349207,0.6059027777777778,0.55,43.27367099995172,63.44831900500003,8014930,69.665621,114.604793
baseline,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,44.548770999881526,63.44831900500003,8014930,69.665621,114.604793
baseline,enterprise,classical,topic,False,40,0.4667744513587383,0.4622023809523809,0.55,0.375,43.643373000122665,63.44831900500003,8014930,69.665621,114.604793
baseline,data-science,adaptive,adaptive,True,40,0.9178174181007902,0.9916666666666666,0.9322916666666666,0.975,2932.4855769996248,256.1454048229998,266252926,376.814121,420.780527
baseline,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,2.6259219998792105,16.43315267099979,8773595,17.49597,61.699433
baseline,data-science,entity-graph,entity,False,40,0.8082232181770198,0.9666666666666666,0.7966666666666666,0.9,9290.454726000007,500.44431086500026,676957164,1769.809621,1814.677076
baseline,data-science,entity-graph,fusion,True,40,0.8579062471314278,0.975,0.86875,0.925,8414.527560999886,500.44431086500026,676957164,1769.809621,1814.677076
baseline,data-science,entity-graph,lexical,False,40,0.9030992238880928,0.9916666666666666,0.8875,0.975,8373.26942799973,500.44431086500026,676957164,1769.809621,1814.677076
baseline,data-science,entity-graph,traversal,False,40,0.5120233581543807,0.7958333333333333,0.43548611111111113,0.725,8172.176691999994,500.44431086500026,676957164,1769.809621,1814.677076
